entry,exit,pnl,pnl_pct,sl,tp,exit_reason,t_entry,t_exit,side,model_label,prob,signal,equity
1176.5,1171.9000244140625,4.5999755859375,0.00390988150100935,1196.1656500302006,1150.2791332930658,CLOSE,2017-01-05,2017-01-06,SHORT,DOWN,0.715,STRONG SELL,1.0039098815010095
1173.9000244140625,1183.5,9.5999755859375,0.008177847675511557,1154.8033572333964,1199.3622473216174,CLOSE,2017-01-06,2017-01-09,LONG,UP,0.925,STRONG BUY,1.0121197035918656
1184.300048828125,1184.199951171875,-0.10009765625,-8.452052024235538e-05,1165.313863106234,1209.6149631239796,CLOSE,2017-01-09,2017-01-10,LONG,UP,0.9075,STRONG BUY,1.0120341587079706
1187.5,1195.5999755859375,8.0999755859375,0.0068210320723684215,1169.162830159751,1211.9495597869989,CLOSE,2017-01-10,2017-01-11,LONG,UP,0.9475,STRONG BUY,1.0189372761628501
1192.699951171875,1198.9000244140625,6.2000732421875,0.005198351216578556,1173.4761506059294,1218.3316852598025,CLOSE,2017-01-11,2017-01-12,LONG,UP,0.8925,STRONG BUY,1.0242340699920085
1195.699951171875,1195.300048828125,0.39990234375,0.0003344504140508377,1214.8363374116816,1170.1847695187994,CLOSE,2017-01-12,2017-01-13,SHORT,DOWN,0.755,STRONG SELL,1.0245766255008022
1205.5,1212.0,6.5,0.005391953546246371,1186.530490644231,1230.7926791410255,CLOSE,2017-01-13,2017-01-17,LONG,UP,0.865,STRONG BUY,1.0301010950700724
1213.5999755859375,1211.300048828125,2.2999267578125,0.0018951275577457668,1233.282369283203,1187.3567839895834,CLOSE,2017-01-17,2017-01-18,SHORT,DOWN,0.8475,STRONG SELL,1.0320532680426038
1200.5,1200.9000244140625,-0.4000244140625,-0.0003332148388692212,1220.01936296024,1174.4741827196801,CLOSE,2017-01-18,2017-01-19,SHORT,DOWN,0.8525,STRONG SELL,1.0317093725791886
1202.800048828125,1204.300048828125,1.5,0.001247090072420128,1183.0142117936166,1229.1811648741364,CLOSE,2017-01-19,2017-01-20,LONG,UP,0.8,STRONG BUY,1.032996007095355
1212.0,1215.0,3.0,0.0024752475247524753,1192.4274422709698,1238.0967436387068,CLOSE,2017-01-20,2017-01-23,LONG,UP,0.75,STRONG BUY,1.0355529279049969
1219.0,1210.300048828125,8.699951171875,0.007136957483080394,1238.3209412310862,1193.2387450252186,CLOSE,2017-01-23,2017-01-24,SHORT,DOWN,0.8525,STRONG SELL,1.0429436251229343
1202.0,1197.300048828125,4.699951171875,0.003910109128015807,1221.1515935175933,1176.4645419765423,CLOSE,2017-01-24,2017-01-25,SHORT,DOWN,0.8725,STRONG SELL,1.0470216485115333
1199.699951171875,1189.5,10.199951171875,0.00850208517714085,1219.1335763397183,1173.788450948084,CLOSE,2017-01-25,2017-01-26,SHORT,DOWN,0.8325,STRONG SELL,1.0559235157494888
1187.9000244140625,1188.0999755859375,-0.199951171875,-0.0001683232323979679,1207.4562451684103,1161.8250634082654,CLOSE,2017-01-26,2017-01-27,SHORT,DOWN,0.7725,STRONG SELL,1.0557457792901528
1191.699951171875,1193.199951171875,1.5,0.0012587061017540143,1173.3691773729158,1216.1409829038205,CLOSE,2017-01-27,2017-01-30,LONG,UP,0.8675,STRONG BUY,1.0570746529444464
1194.9000244140625,1208.5999755859375,13.699951171875,0.011465353495655823,1176.6571604135222,1219.2238430814493,CLOSE,2017-01-30,2017-01-31,LONG,UP,0.8375,STRONG BUY,1.0691943875117522
1211.9000244140625,1205.5999755859375,6.300048828125,0.00519848890272198,1231.1433981288499,1186.242192794346,CLOSE,2017-01-31,2017-02-01,SHORT,DOWN,0.74,STRONG SELL,1.0747525826700846
1209.699951171875,1216.699951171875,7.0,0.005786558884472861,1190.331104151001,1235.5250805330402,CLOSE,2017-02-01,2017-02-02,LONG,UP,0.7975,STRONG BUY,1.0809717017759441
1214.9000244140625,1218.5,3.5999755859375,0.002963186693220903,1194.9218119390434,1241.5376410474214,CLOSE,2017-02-02,2017-02-03,LONG,UP,0.915,STRONG BUY,1.084174822738395
1221.9000244140625,1230.0,8.0999755859375,0.006629000265239932,1201.8059673571809,1248.6921004899045,CLOSE,2017-02-03,2017-02-06,LONG,UP,0.92,STRONG BUY,1.0913618179258942
1234.199951171875,1234.199951171875,0.0,0.0,1213.730467003264,1261.492596730023,CLOSE,2017-02-06,2017-02-07,LONG,UP,0.85,STRONG BUY,1.0913618179258942
1232.0999755859375,1237.5999755859375,5.5,0.004463923471294949,1212.267602660955,1258.5431394859143,CLOSE,2017-02-07,2017-02-08,LONG,UP,0.795,STRONG BUY,1.0962335735606086
1239.4000244140625,1235.0999755859375,4.300048828125,0.0034694600156699906,1259.1979447459103,1213.0027973049323,CLOSE,2017-02-08,2017-02-09,SHORT,DOWN,0.8975,STRONG SELL,1.100036912111912
1227.5999755859375,1234.4000244140625,-6.800048828125,-0.005539303489216277,1247.7623275640037,1200.7168396151826,CLOSE,2017-02-09,2017-02-10,SHORT,DOWN,0.855,STRONG SELL,1.0939434738063838
1230.5,1224.4000244140625,6.0999755859375,0.004957314576137749,1250.6793242209833,1203.5942343720224,CLOSE,2017-02-10,2017-02-13,SHORT,DOWN,0.8775,STRONG SELL,1.0993664957345548
1225.9000244140625,1223.9000244140625,2.0,0.0016314544091439514,1246.2879709493393,1198.71609570036,CLOSE,2017-02-13,2017-02-14,SHORT,DOWN,0.76,STRONG SELL,1.1011600620512862
1225.5,1231.699951171875,6.199951171875,0.005059119683292534,1205.346904172879,1252.3707944361613,CLOSE,2017-02-14,2017-02-15,LONG,UP,0.7925,STRONG BUY,1.1067309625956656
1234.5,1240.0,5.5,0.0044552450384771165,1214.2435643379858,1261.5085808826855,CLOSE,2017-02-15,2017-02-16,LONG,UP,0.8275,STRONG BUY,1.111661720225699
1240.699951171875,1237.5999755859375,3.0999755859375,0.002498569926604324,1260.4737842866023,1214.3348403522384,CLOSE,2017-02-16,2017-02-17,SHORT,DOWN,0.85,STRONG SELL,1.1144392847684121
1237.300048828125,1237.5,-0.199951171875,-0.0001616028157958761,1256.347169114345,1211.9038884464983,CLOSE,2017-02-17,2017-02-21,SHORT,DOWN,0.885,STRONG SELL,1.11425918824196
1236.0999755859375,1232.0,4.0999755859375,0.0033168640619008387,1254.8044444231418,1211.1606838029984,CLOSE,2017-02-21,2017-02-22,SHORT,DOWN,0.805,STRONG SELL,1.1179550344990825
1236.0999755859375,1250.199951171875,14.0999755859375,0.011406824580878916,1218.0029766559107,1260.22930749264,CLOSE,2017-02-22,2017-02-23,LONG,UP,0.7525,STRONG BUY,1.130707351466924
1250.0,1256.9000244140625,6.9000244140625,0.00552001953125,1231.2349243333904,1275.020100888813,CLOSE,2017-02-23,2017-02-24,LONG,UP,0.7,STRONG BUY,1.1369488781311492
1254.699951171875,1257.4000244140625,2.7000732421875,0.002151967280835281,1236.3323756784382,1279.1900518297905,CLOSE,2017-02-24,2017-02-27,LONG,UP,0.71,STRONG BUY,1.1393955549168697
1253.5999755859375,1252.5999755859375,1.0,0.0007977026319999696,1272.016290455401,1229.0448890933194,CLOSE,2017-02-27,2017-02-28,SHORT,DOWN,0.8075,STRONG SELL,1.140304453749916
1247.800048828125,1248.9000244140625,-1.0999755859375,-0.0008815319305128616,1265.9937776257184,1223.5417437646672,CLOSE,2017-02-28,2017-03-01,SHORT,DOWN,0.8675,STRONG SELL,1.1392992389634296
1247.199951171875,1231.9000244140625,15.2999267578125,0.012267420908280677,1265.7762655380554,1222.4315320169678,CLOSE,2017-03-01,2017-03-02,SHORT,DOWN,0.87,STRONG SELL,1.153275502268278
1231.699951171875,1225.5,6.199951171875,0.005033653826141819,1250.8993937878483,1206.1006943505772,CLOSE,2017-03-02,2017-03-03,SHORT,DOWN,0.835,STRONG SELL,1.1590806919128662
1235.199951171875,1224.5,10.699951171875,0.008662525578732093,1254.3458543250445,1209.6720803009823,CLOSE,2017-03-03,2017-03-06,SHORT,DOWN,0.855,STRONG SELL,1.169121258054376
1224.300048828125,1215.0999755859375,9.2000732421875,0.0075145576045623965,1243.2248108101976,1199.0670328520282,CLOSE,2017-03-06,2017-03-07,SHORT,DOWN,0.8875,STRONG SELL,1.1779066870947439
1212.199951171875,1208.5,3.699951171875,0.0030522614427579632,1231.026523716891,1187.097854445187,CLOSE,2017-03-07,2017-03-08,SHORT,DOWN,0.8325,STRONG SELL,1.18150196625893
1204.5,1202.4000244140625,2.0999755859375,0.0017434417483914487,1222.8818199790217,1179.990906694638,CLOSE,2017-03-08,2017-03-09,SHORT,DOWN,0.8525,STRONG SELL,1.1835618461127124
